id,postcode,locality,state,long,lat,dc,type,status,sa3,sa3name,sa4,sa4name,region,Lat_precise,Long_precise,SA1_MAINCODE_2011,SA1_MAINCODE_2016,SA2_MAINCODE_2016,SA2_NAME_2016,SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RA_2011,RA_2016,MMM_2015,MMM_2019,ced,altitude,chargezone,phn_code,phn_name,lgaregion,lgacode,electorate,electoraterating
10779,6511,CERVANTES,WA,115.250201,-30.568116,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.5017292,115.0762536,50902123917.0,50902123917.0,509021239.0,Gingin - Dandaragan,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,48.0332336425781,W2,PHN503,Country WA,Dandaragan,52590.0,Durack,Rural
10780,6512,COOMBERDALE,WA,116.070173,-30.446675,MOORA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.4681607,116.0367168,50902124111.0,50902124111.0,509021241.0,Moora,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,270.718627929688,W2,PHN503,Country WA,Moora,55600.0,Durack,Rural
10782,6513,GUNYIDI,WA,116.060619,-30.27368,WATHEROO LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.144786,116.0556289,50805121614.0,51104129111.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Moora,55600.0,Durack,Rural
10784,6514,GREEN HEAD,WA,115.087155,-30.027371,LEEMAN LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-30.0539698,115.0228736,50805121614.0,51104129111.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,114.106536865234,W2,PHN503,Country WA,Carnamah,51470.0,Durack,Rural
10786,6515,COOROW,WA,115.856422,-29.967278,COOROW LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.8823975,116.021637,50805121613.0,51104129113.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Coorow,52030.0,Durack,Rural
10790,6516,JURIEN BAY,WA,115.20926,-30.22554,JURIEN LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.2938314,115.1177654,50902123914.0,50902123914.0,509021239.0,Gingin - Dandaragan,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,128.416595458984,W2,PHN503,Country WA,Dandaragan,52590.0,Durack,Rural
10791,6517,CARNAMAH,WA,115.839422,-29.740667,CARNAMAH LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.722497,115.8994923,50805121608.0,51104129107.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,240.0,W2,PHN503,Country WA,Carnamah,51470.0,Durack,Rural
10793,6518,ENEABBA,WA,115.180736,-29.774917,ENEABBA LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.8142254,115.266874,50805121608.0,51104129107.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,49.0140609741211,W2,PHN503,Country WA,Carnamah,51470.0,Durack,Rural
10795,6519,ARRINO,WA,115.597715,-29.514304,THREE SPRINGS LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.5488592,115.515149,50805121612.0,51104129109.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),4.0,4.0,6.0,6.0,Durack,,W2,PHN503,Country WA,Three Springs,58260.0,Durack,Rural
10801,6521,BADGINGARRA,WA,115.640925,-30.348514,BADGINGARRA LPO,Delivery Area,Updated 6-Feb-2020,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,R3,-30.4384887,115.6268781,50902123916.0,50902123916.0,509021239.0,Gingin - Dandaragan,50902.0,Wheat Belt - North,509.0,Western Australia - Wheat Belt,3.0,3.0,5.0,5.0,Durack,,W2,PHN503,Country WA,Dandaragan,52590.0,Durack,Rural
10806,6522,BUNDANOON,WA,115.485567,-29.139369,MINGENEW LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.3065884,115.4878194,50805121611.0,51104129117.0,511041291.0,Morawa,51104.0,Mid West,511.0,Western Australia - Outback (South),3.0,3.0,5.0,5.0,Durack,156.0,W2,PHN503,Country WA,Mingenew,55530.0,Durack,Rural
10816,6525,ALLANOOKA,WA,115.098073,-29.327323,DONGARA LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.0467352,115.0703229,50805121408.0,51104128906.0,511041289.0,Irwin,51104.0,Mid West,511.0,Western Australia - Outback (South),3.0,3.0,5.0,5.0,Durack,,W2,PHN503,Country WA,Irwin,54060.0,Durack,Rural
10828,6528,MOUNT HILL,WA,114.815184,-28.985892,WALKAWAY LPO,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-29.0091632,114.9133921,50805121713.0,51104129214.0,511041292.0,Northampton - Mullewa - Greenough,51104.0,Mid West,511.0,Western Australia - Outback (South),3.0,3.0,5.0,5.0,Durack,,W2,PHN503,Country WA,Irwin,54060.0,Durack,Rural
10831,6530,BEACHLANDS,WA,114.862505,-28.802491,GERALDTON DC,Delivery Area,Updated 6-Feb-2020,50805.0,Mid West,508.0,Western Australia - Outback,R3,-28.7846739,114.6031711,50805121010.0,51104128520.0,511041285.0,Geraldton,51104.0,Mid West,511.0,Western Australia - Outback (South),3.0,3.0,3.0,3.0,Durack,124.97615814209,W2,PHN503,Country WA,Chapman Valley,51610.0,Durack,Rural
10853,6531,GERALDTON,WA,115.740693,-32.278396,GERALDTON DC,Post Office Boxes,Updated 25-Mar-2020 SA3,50805.0,Mid West,508.0,Western Australia - Outback,R3,-28.7796535,114.6144452,50805121016.0,51104128516.0,511041285.0,Geraldton,51104.0,Mid West,511.0,Western Australia - Outback (South),3.0,3.0,3.0,3.0,Durack,-3492.0,W2,PHN503,,Rockingham,57490.0,Durack,
